color,director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,plot_keywords,language,country,content_rating,title_year
Color,James Cameron,178,Joel David Moore,760505847,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar ,886204,Wes Studi,avatar|future|marine|native|paraplegic,English,USA,PG-13,2009
Color,Gore Verbinski,169,Orlando Bloom,309404152,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,Jack Davenport,goddess|marriage ceremony|marriage proposal|pirate|singapore,English,USA,PG-13,2007
Color,Sam Mendes,148,Rory Kinnear,200074175,Action|Adventure|Thriller,Christoph Waltz,Spectre ,275868,Stephanie Sigman,bomb|espionage|sequel|spy|terrorist,English,UK,PG-13,2015
Color,Christopher Nolan,164,Christian Bale,448130642,Action|Thriller,Tom Hardy,The Dark Knight Rises ,1144337,Joseph Gordon-Levitt,deception|imprisonment|lawlessness|police officer|terrorist plot,English,USA,PG-13,2012
,Doug Walker,,Rob Walker,,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,8,,,,,,
Color,Andrew Stanton,132,Samantha Morton,73058679,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,212204,Polly Walker,alien|american civil war|male nipple|mars|princess,English,USA,PG-13,2012
Color,Sam Raimi,156,James Franco,336530303,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383056,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,English,USA,PG-13,2007
Color,Nathan Greno,100,Donna Murphy,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,294810,M.C. Gainey,17th century|based on fairy tale|disney|flower|tower,English,USA,PG,2010
Color,Joss Whedon,141,Robert Downey Jr.,458991599,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron ,462669,Scarlett Johansson,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,USA,PG-13,2015
Color,David Yates,153,Daniel Radcliffe,301956980,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,Rupert Grint,blood|book|love|potion|professor,English,UK,PG,2009
